raion;kusch;diln;n_diln;vul
Сторожинецький;м.Сторожинець ;м.Сторожинець  730342-11;11;Берегометська#В. Вернадського#Видинівського 74-74Д, 76, 78-165#Вижницька#Гуцульська#Клинівська#Княгині Ольги#М. Заньковецької#О. Довженка#пров. 1-й Берегометський#пров. 1-й Вижницький#пров. 1-й П. Видинівського#пров. 2-й Берегометський#пров. 2-й Вижницький#пров. 2-й Клинівський#пров. 2-й П. Видинівського#пров. 3-й Клинівський#пров. 3-й П. Видинівського#пров. 4-й Клинівський#пров. Вижницький#пров. Гуцульський#пров. Клинівський#С. Воробкевича#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730342-12;12;Абрикосова#Берегова#Бузкова#Виноградна#Дачна#Динамівська#Дружби#Жасмінна#Західна#і. Крейтера#і. Миколайчука#Київська#Лісоводів#Лугова#Новобросківська#Пляжна#Полтавська#пров. 1-й Асакі#пров. 1-й Дружби#пров. 1-й Київський#пров. 1-й Клинівський#пров. 1-й Полтавський#пров. 1-й Якобашвілі#пров. 2-й Дружби#пров. 2-й Київський#пров. 2-й Полтавський#пров. 2-й Якобашвілі#пров. 3-й Дружби#пров. 3-й Київський#пров. 3-й Полтавський#пров. 3-й Якобашвілі#пров. 4-й Дружби#пров. 4-й Київський#пров. 4-й Якобашвілі#пров. 5-й Дружби#пров. 6-й Дружби#пров. 7-й Дружби#пров. і. Крейтера#пров. Пляжний#Сунична#Фруктова#Яблунева#Якобашвілі#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730342-13;13;Вишнева#Гайдамацька#Галицька#Д. Вишневецького#Л. Кобилиці#М. Коперника#М. Черемшини#Нагірна#Народна#О. Довбуша#О. Маковея#Опришків#Підгірна#Січових Стрільців#С. Смальстоцького#пров. Вишневий#пров. Г. Карюкіна#пров. Народний#пров. 1-й Вишневий#пров. 1-й О. Довбуша#пров. 2-й Вишневий#пров. 2-й О. Довбуша#пров. 3-й Вишневий#пров. 3-й О. Довбуша#В. Белінського#Подольська#Асакі#пров. 2-й Асакі#М. Емінеску#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730343-14;14;Б. Хмельницького 56, 58, 58А, 60-198#Шкільна#і. Крилова#Б. Хаждеу#Мисливська#К. Галкіна#Вербова#Затишна#Ф. Штирбу#Заставнянська#пров. і. Крилова#пров. 1-й Шкільний#пров. 1-й Вашківський#пров. 2-й Вашківський#Кельменецька#пров. Кіцманський#пров. 2-й Шкільний#пров. 3-й Шкільний#пров. 3-й Б. Хмельницького#Д. Менделєєва#пров. Вашківський#Колгоспна#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730343-15;15;А. Чехова#Вашківська#Володимирівська#і. Котляревського#Козацька#Л. Чайкіної#Львівська#М. Лисенка#М. Чугуніна#Набережна#О. Кошового#Переяславська#Райдужна#Сіретська#Кіцманська#пров. Л. Чайкіної#пров. Табірний#пров. 1-й Л. Чайкіної#пров. 2-й Б. Хмельницького#пров. 2-й Л. Чайкіної#Табірна#
Сторожинецький;с.Банилів-Підгірний;с.Банилів-Підгірний 730347-16;16;Головна 1-263, 265, 267, 269, 271, 273, 275, 277, 279, 281, 283, 285, 287, 289, 291, 293, 293Б, 295, 295Б, 297#Фізкультурна#Б. Хмельницького#С. Репки#пров. О. Пушкіна#пров. Сагайдачного#
Сторожинецький;с.Банилів-Підгірний;с.Банилів-Підгірний 730347-17;17;О. Довбуша#пров. О. Довбуша#Кошелівська#Солонецька#Пасічна#Мигівська#О. Довженка#М. Гоголя#Березова#Мазепи#Кожедуба#Лугова#Залізнична#Лавренка#пров. 1 Зарічний#пров. 2 Зарічний#
Сторожинецький;с.Банилів-Підгірний;с.Банилів-Підгірний 730347-18;18;О. Кобилянської#Дунавецька#Новобудов#Круглова#і. Франка#Л. Українки#М. Вовчка#Т. Шевченка#пров. і. Франка#Молодіжна#пров. О. Кобилянської#пров. Ю. Федьковича#Мічуріна#Колгоспна#Зарічна#
Сторожинецький;с.Банилів-Підгірний;с.Банилів-Підгірний 730348, 730349-19;19;вул.Лісова#вул.Озерна#вул.Полянівська: 1і1Г, 3і94#вул.Щорса#пров.1-й Озерний#пров.2-й Озерний#пров.3-й Озерний#вул.В.івасюка#вул.Головна: 264, 266, 268, 270, 272, 274, 276і276А, 280, 282, 284, 286, 288, 290, 292, 294, 296, 298і375#вул.Горіхова#вул.Кошуйська#вул.Миру#вул.Н.Яремчука#вул.Рівнянська#вул.Річкова#вул.Ю.Федьковича#
Сторожинецький;с.Бобівці;с.Бобівці 730350-20;20;Головна#Буковинська#Заводська#Зелена#Переліскова#Шкільний масив#Назарія Яремчука#Глиницька#Річкова 1-19#
Сторожинецький;с.Бобівці;с.Бобівці 730350-21;21;Нижня Козаківська#Верхня Козаківська#Юрія Токарюка#Заділянська#Валерія Савчука#Вишнева#Молодіжний масив#Річкова 20-50#Старокутянська#
Сторожинецький;с.Давидівка;с.Давидівка 730357-22;22;Миру#Молодіжна#Центральна 132-206#Жовтнева#Гагаріна#
Сторожинецький;с.Давидівка;с.Давидівка 730357-23;23;Б. Хмельницького#Банилівська#Центральна 1-132А#
Сторожинецький;с.Давидівка;с.Давидівка 730358-24;24;вул.і.Франка#вул.Лісова#вул.Мічуріна#вул.О.Кобилянської#
Сторожинецький;с.Зруб-Комарівський;с.Зруб-Комарівський 730359-25;25;с.Зруб-Комарівський#
Сторожинецький;с.Комарівці;с.Комарівці 730364-26;26;с.Комарівці#
Сторожинецький;с.Костинці;с.Костинці 730365-27;27;с.Костинці#
Сторожинецький;с.Ясени;с.Ясени 730366-28;28;с.Ясени#
Сторожинецький;с.Нові Бросківці;с.Нові Бросківці 730373-29;29;с.Нові Бросківці#
Сторожинецький;с.Заболоття;с.Заболоття 730374-30;30;с.Заболоття#
Сторожинецький;с.Панка;с.Панка 730375-31;31;Головна#пров. Сторожинецький#Клинівська#В. івасюка#Зелена#Емінеску#Яблунева#пров. Варшавський#Забагнянська#Незалежності#Миру#Річкова#Польова#пров. М. Вовчок#пров. Польовий#
Сторожинецький;с.Панка;с.Панка 730375-32;32;Шевченка#Грушевського#і. Франка#Федьковича#пров. Шевченка#Воробкевича#Сіретська#Н. Яремчука#Лугова#Царинська#Л. Українки#Зруб-Комарівська#Каденюка#Ставкова#і. Вільде#пров. Сонячний#Мічуріна#пров. Зоряний#Вільхова#Українська#Грушева#пров. Бригадний#Л. Кобилиці#пров. Л. Кобилиці#пров. Паланка#пров. Мічуріна#пров. Вербовий#Шкільна#Привокзальна#пров. О. Кобилянської#
Сторожинецький;с.Панка;с.Панка 730375-33;33;Лісова#Олімпійська#пров. Першотравневий#Січових Стрільців#Фізкультурна#Заводська#пров. 8 березня#Буденецька#Довбуша#Дружби#Миколайчука#Міцкевича#Молодіжна#Б. Хмельницького#пров. Лісовий#Пушкіна#пров. Пушкіна#Вишнева#Джерельна#пров. Грушевий#Садова#
Сторожинецький;с.Слобода-Комарівці;с.Слобода-Комарівці 730378-34;34;с.Слобода-Комарівці#
