nas;raion
с.ЛОПАТІВ;Сокирянський
с.МИХАЛКОВЕ;Сокирянський
с.НЕПОРОТОВЕ;Сокирянський
с.НОВА СЛОБОДА;Сокирянський
НОВОДНІСТРОВСЬК;Сокирянський
с.НОВООЛЕКСІЇВКА;Сокирянський
с.ОЛЕКСІЇВКА;Сокирянський
с.ОЖЕВЕ;Сокирянський
с.ПОКРОВКА;Сокирянський
с.РОМАНКІВЦІ;Сокирянський
с.РОЗКОПИНЦІ;Сокирянський
с.СЕЛИЩЕ;Сокирянський
с.СЕРБИЧАНИ;Сокирянський
с.ШЕБУТИНЦІ;Сокирянський
с.ШИШКІВЦІ;Сокирянський
м.СОКИРЯНИ;Сокирянський
с.СТРУМОК;Сокирянський
с.ВАШКІВЦІ;Сокирянський
с.ВАСИЛІВКА;Сокирянський
с.ВІТРЯНКА;Сокирянський
с.ВОЛОШКОВЕ;Сокирянський
с.БАНИЛІВ-ПІДГІРНИЙ;Сторожинецький
с.БОБІВЦІ;Сторожинецький
с.БУДЕНЕЦЬ;Сторожинецький
с.ЧЕРЕШ;Сторожинецький
с.ДАВИДІВКА;Сторожинецький
с.ДІБРІВКА;Сторожинецький
с.ДУБОВЕ;Сторожинецький
с.ГЛИБОЧОК;Сторожинецький
с.ГОДИЛІВ;Сторожинецький
с.ЇЖІВЦІ;Сторожинецький
с.КАМ'ЯНА;Сторожинецький
с.КОМАРІВЦІ;Сторожинецький
с.КОСОВАНКА;Сторожинецький
с.КОСТИНЦІ;Сторожинецький
смт.КРАСНОЇЛЬСЬК;Сторожинецький
с.МИХАЛЬЧА;Сторожинецький
с.НОВА КРАСНОШОРА;Сторожинецький
с.НОВА ЖАДОВА;Сторожинецький
с.НОВІ БРОСКІВЦІ;Сторожинецький
с.НИЖНІ ПЕТРІВЦІ;Сторожинецький
с.ПАНКА;Сторожинецький
с.РОПЧА;Сторожинецький
СЛОБОДА-КОМАРІВЦІ;Сторожинецький
с.СНЯЧІВ;Сторожинецький
с.СПАСЬКА;Сторожинецький
с.СТАРА КРАСНОШОРА;Сторожинецький
с.СТАРА ЖАДОВА;Сторожинецький
с.СТАРІ БРОСКІВЦІ;Сторожинецький
м.СТОРОЖИНЕЦЬ;Сторожинецький
с.ТИСОВЕЦЬ;Сторожинецький
с.ВЕЛИКИЙ КУЧУРІВ;Сторожинецький
с.ВЕРХНІ ПЕТРІВЦІ;Сторожинецький
с.ЯСЕНИ;Сторожинецький
с.ЗАБОЛОТТЯ;Сторожинецький
с.ЗАВОЛОКА;Сторожинецький
с.ЗРУБ-КОМАРІВСЬКИЙ;Сторожинецький
с.БАБИНЕ;Вижницький
с.БАГНА;Вижницький
с.БАНИЛІВ;Вижницький
смт.БЕРЕГОМЕТ;Вижницький
с.БЕРЕЖНИЦЯ;Вижницький
с.БЕРЕЖОНКА;Вижницький
с.ЧЕРЕШЕНЬКА;Вижницький
с.ЧОРНОГУЗИ;Вижницький
с.ДОЛІШНІЙ ШЕПІТ;Вижницький
с.ФАЛЬКІВ;Вижницький
с.ІСПАС;Вижницький
с.КАРАПЧІВ;Вижницький
с.КОРИТНЕ;Вижницький
с.КИБАКИ;Вижницький
с.ЛЕКЕЧІ;Вижницький
с.ЛОПУШИНА;Вижницький
с.ЛУКІВЦІ;Вижницький
с.ЛИПОВАНИ;Вижницький
с.МАЙДАН;Вижницький
с.МІЛІЇВЕ;Вижницький
с.МИГОВЕ;Вижницький
с.СЕРЕДНІЙ МАЙДАН;Вижницький
с.СЛОБОДА-БАНИЛІВ;Вижницький
с.ВАХНІВЦІ;Вижницький
с.ВАЛИ;Вижницький
м.ВАШКІВЦІ;Вижницький
с.ВЕЛИКЕ;Вижницький
с.ВОЛОКА;Вижницький
с.ВОВЧИНЕЦЬ;Вижницький
с.ВИЖЕНКА;Вижницький
м.ВИЖНИЦЯ;Вижницький
с.ЗАМОСТЯ;Вижницький
с.ЗАРІЧЧЯ;Вижницький
с.БАБИН;Заставнівський
с.БАЛАМУТІВКА;Заставнівський
с.БОЯНЧУК;Заставнівський
с.БРІДОК;Заставнівський
с.ЧОРНИЙ ПОТІК;Заставнівський
с.ЧУНЬКІВ;Заставнівський
с.ДОБРИНІВЦІ;Заставнівський
с.ДОРОШІВЦІ;Заставнівський
с.ГОРІШНІ ШЕРІВЦІ;Заставнівський
с.ГОРОШІВЦІ;Заставнівський
с.ХРЕЩАТИК;Заставнівський
с.ЙОСИПІВКА;Заставнівський
с.КАДУБІВЦІ;Заставнівський
смт.КОСТРИЖІВКА;Заставнівський
с.КУЛІВЦІ;Заставнівський
с.МАЛИЙ КУЧУРІВ;Заставнівський
с.МУСОРІВКА;Заставнівський
с.МИТКІВ;Заставнівський
с.ОНУТ;Заставнівський
с.ПОГОРІЛІВКА;Заставнівський
с.ПРИЛИПЧЕ;Заставнівський
с.РЕПУЖИНЦІ;Заставнівський
с.РУДКА;Заставнівський
с.РЖАВИНЦІ;Заставнівський
с.САМУШИН;Заставнівський
с.ШУБРАНЕЦЬ;Заставнівський
с.СТЕПАНІВКА;Заставнівський
с.ТОВТРИ;Заставнівський
с.ВАСЛОВІВЦІ;Заставнівський
с.ВАСИЛІВ;Заставнівський
с.ВЕРБІВЦІ;Заставнівський
с.ВЕРЕНЧАНКА;Заставнівський
с.ВІКНО;Заставнівський
с.ВИМУШІВ;Заставнівський
с.ЯБЛУНІВКА;Заставнівський
с.ЮРКІВЦІ;Заставнівський
с.ЗАДУБРІВКА;Заставнівський
м.ЗАСТАВНА;Заставнівський
с.ЗВЕНЯЧИН;Заставнівський
